wavelength,x,y,z
0.0,-0.880859375,-3.203125,3.68359375
0.0005,-0.2001953125,-3.8037109375,3.5634765625
0.001,0.6005859375,-4.083984375,3.0830078125
0.0015,1.3212890625,-4.2841796875,2.5625
0.002,1.9619140625,-4.3642578125,2.0419921875
0.0025,2.6826171875,-4.484375,1.4814453125
0.003,2.9228515625,-4.00390625,0.7607421875
0.0035,3.443359375,-4.0439453125,0.3203125
0.004,3.5234375,-3.1630859375,-0.720703125
0.0045,3.8037109375,-2.7626953125,-1.361328125
0.005,3.84375,-1.8818359375,-2.322265625
0.0055,3.763671875,-1.28125,-2.8427734375
0.006,3.443359375,-0.560546875,-3.283203125
0.0065,3.2431640625,0.0400390625,-3.7236328125
0.007,2.5625,0.9609375,-3.923828125
0.0075,2.0419921875,1.6015625,-4.083984375
0.008,1.28125,2.482421875,-4.1640625
0.0085,0.4404296875,2.8427734375,-3.7236328125
0.009,-0.2001953125,3.36328125,-3.68359375
0.0095,-1.0810546875,3.5234375,-2.962890625
0.01,-1.76171875,3.763671875,-2.5224609375
0.0105,-2.4423828125,3.763671875,-1.8818359375
0.011,-2.962890625,3.763671875,-1.3212890625
0.0115,-3.203125,3.3232421875,-0.640625
0.012,-3.603515625,3.1630859375,0.0
0.0125,-3.68359375,2.2421875,0.9609375
0.013,-3.84375,1.8818359375,1.5615234375
0.0135,-3.8837890625,1.041015625,2.4423828125
0.014,-3.6435546875,0.4404296875,2.8427734375
0.0145,-3.5234375,-0.240234375,3.3232421875
0.015,-3.123046875,-0.9609375,3.5634765625
0.0155,-2.5625,-1.681640625,3.84375
0.016,-1.921875,-2.40234375,3.84375
0.0165,-1.28125,-3.1630859375,3.9638671875
0.017,-0.400390625,-3.5234375,3.443359375
0.0175,0.16015625,-4.0439453125,3.443359375
0.018,1.12109375,-4.1240234375,2.6025390625
0.0185,1.7216796875,-4.3642578125,2.3623046875
0.019,2.4423828125,-4.3642578125,1.6416015625
0.0195,2.8427734375,-4.244140625,1.12109375
0.02,3.1630859375,-3.8837890625,0.4404296875
0.0205,3.5234375,-3.603515625,-0.2802734375
0.021,3.6435546875,-2.802734375,-1.2412109375
0.0215,3.8037109375,-2.2822265625,-1.8818359375
0.022,3.84375,-1.521484375,-2.6826171875
0.0225,3.4833984375,-0.80078125,-3.0830078125
0.023,3.4033203125,-0.240234375,-3.5634765625
0.0235,2.802734375,0.640625,-3.8037109375
0.024,2.2822265625,1.4013671875,-4.0439453125
0.0245,1.521484375,2.0419921875,-4.00390625
0.025,0.8408203125,2.6826171875,-4.00390625
0.0255,0.0,3.04296875,-3.5234375
0.026,-0.640625,3.5234375,-3.4033203125
0.0265,-1.6015625,3.603515625,-2.5224609375
0.027,-2.08203125,3.8037109375,-2.2421875
0.0275,-2.7626953125,3.763671875,-1.4814453125
0.028,-3.0830078125,3.4833984375,-0.9208984375
0.0285,-3.4833984375,3.203125,-0.3203125
0.029,-3.68359375,2.6826171875,0.560546875
0.0295,-3.84375,1.9619140625,1.4013671875
0.03,-3.84375,1.3212890625,2.08203125
0.0305,-3.8837890625,0.720703125,2.72265625
0.031,-3.4833984375,0.0,3.0830078125
0.0315,-3.443359375,-0.6005859375,3.5634765625
0.032,-2.642578125,-1.521484375,3.763671875
0.0325,-2.2421875,-2.2021484375,3.9638671875
0.033,-1.361328125,-2.8828125,3.84375
0.0335,-0.6806640625,-3.4833984375,3.68359375
0.034,0.1201171875,-3.7236328125,3.283203125
0.0345,0.720703125,-4.083984375,3.0029296875
0.035,1.6416015625,-4.2041015625,2.2822265625
0.0355,2.08203125,-4.32421875,1.921875
0.036,2.72265625,-4.32421875,1.28125
0.0365,2.962890625,-3.8837890625,0.6005859375
0.037,3.4033203125,-3.763671875,0.0400390625
0.0375,3.4833984375,-2.9228515625,-0.9208984375
0.038,3.7236328125,-2.482421875,-1.6015625
0.0385,3.6435546875,-1.7216796875,-2.2822265625
0.039,3.6435546875,-1.1611328125,-2.8828125
0.0395,3.203125,-0.4404296875,-3.203125
0.04,3.1630859375,0.1201171875,-3.603515625
0.0405,2.3623046875,1.0009765625,-3.84375
0.041,1.921875,1.6015625,-4.00390625
0.0415,1.12109375,2.322265625,-3.923828125
0.042,0.4404296875,2.802734375,-3.6435546875
0.0425,-0.3203125,3.203125,-3.4033203125
0.043,-1.0009765625,3.443359375,-2.8828125
0.0435,-1.8017578125,3.68359375,-2.4423828125
0.044,-2.2822265625,3.6435546875,-1.921875
0.0445,-2.8427734375,3.68359375,-1.361328125
0.045,-3.0830078125,3.2431640625,-0.640625
0.0455,-3.5634765625,3.1630859375,0.0
0.046,-3.603515625,2.2421875,0.9609375
0.0465,-3.8837890625,1.8818359375,1.6015625
0.047,-3.8037109375,1.041015625,2.322265625
0.0475,-3.7236328125,0.48046875,2.802734375
0.048,-3.4033203125,-0.2802734375,3.203125
0.0485,-3.123046875,-0.9609375,3.5634765625
0.049,-2.482421875,-1.8818359375,3.84375
0.0495,-1.841796875,-2.4423828125,3.8037109375
0.05,-1.12109375,-3.0830078125,3.8037109375
0.0505,-0.3203125,-3.5234375,3.4033203125
0.051,0.3203125,-3.923828125,3.283203125
0.0515,1.201171875,-4.0439453125,2.5224609375
0.052,1.841796875,-4.32421875,2.162109375
0.0525,2.322265625,-4.1640625,1.521484375
0.053,2.8427734375,-4.1640625,1.041015625
0.0535,3.04296875,-3.68359375,0.3203125
0.054,3.443359375,-3.4833984375,-0.3203125
0.0545,3.5234375,-2.5625,-1.3212890625
0.055,3.68359375,-2.1220703125,-1.921875
0.0555,3.5634765625,-1.361328125,-2.6025390625
0.056,3.36328125,-0.80078125,-2.962890625
0.0565,3.1630859375,-0.2001953125,-3.4033203125
0.057,2.6826171875,0.6005859375,-3.68359375
0.0575,2.162109375,1.361328125,-4.00390625
0.058,1.4013671875,1.9619140625,-3.8037109375
0.0585,0.7607421875,2.642578125,-3.84375
0.059,0.0,2.9228515625,-3.3232421875
0.0595,-0.6005859375,3.36328125,-3.2431640625
0.06,-1.5615234375,3.4833984375,-2.482421875
0.0605,-2.0419921875,3.7236328125,-2.162109375
0.061,-2.5625,3.5234375,-1.4814453125
0.0615,-2.962890625,3.443359375,-1.0009765625
0.062,-3.2431640625,3.04296875,-0.2802734375
0.0625,-3.5234375,2.6025390625,0.48046875
0.063,-3.7236328125,1.921875,1.4013671875
0.0635,-3.7236328125,1.361328125,1.921875
0.064,-3.7236328125,0.720703125,2.5625
0.0645,-3.4033203125,0.0400390625,2.9228515625
0.065,-3.283203125,-0.6005859375,3.4033203125
0.0655,-2.6025390625,-1.44140625,3.5634765625
0.066,-2.162109375,-2.08203125,3.84375
0.0665,-1.3212890625,-2.642578125,3.5634765625
0.067,-0.80078125,-3.2431640625,3.603515625
0.0675,0.080078125,-3.5634765625,3.1630859375
0.068,0.640625,-3.923828125,2.9228515625
0.0685,1.521484375,-4.1240234375,2.2421875
0.069,1.9619140625,-4.1640625,1.921875
0.0695,2.5224609375,-4.1640625,1.28125
0.07,2.8427734375,-3.84375,0.720703125
0.0705,3.203125,-3.5634765625,0.0400390625
0.071,3.36328125,-2.9228515625,-0.80078125
0.0715,3.68359375,-2.4423828125,-1.6015625
0.072,3.4833984375,-1.7216796875,-2.162109375
0.0725,3.5634765625,-1.28125,-2.802734375
0.073,3.1630859375,-0.5205078125,-3.1630859375
0.0735,3.04296875,0.1201171875,-3.603515625
0.074,2.2822265625,1.12109375,-3.8037109375
0.0745,1.8017578125,1.76171875,-3.9638671875
0.075,1.0009765625,2.3623046875,-3.763671875
0.0755,0.3603515625,2.8828125,-3.68359375
0.076,-0.400390625,3.1630859375,-3.2431640625
0.0765,-1.0810546875,3.443359375,-2.8427734375
0.077,-1.9619140625,3.7236328125,-2.2822265625
0.0775,-2.322265625,3.5634765625,-1.7216796875
0.078,-2.9228515625,3.5634765625,-1.201171875
0.0785,-3.0830078125,3.123046875,-0.5205078125
0.079,-3.5234375,2.8427734375,0.2001953125
0.0795,-3.603515625,2.001953125,1.1611328125
0.08,-3.84375,1.5615234375,1.8818359375
0.0805,-3.5634765625,0.7607421875,2.3623046875
0.081,-3.603515625,0.2802734375,2.8828125
0.0815,-3.203125,-0.5205078125,3.1630859375
0.082,-2.8828125,-1.041015625,3.5234375
0.0825,-2.2421875,-1.9619140625,3.8037109375
0.083,-1.6015625,-2.482421875,3.68359375
0.0835,-0.880859375,-3.0830078125,3.603515625
0.084,-0.16015625,-3.4833984375,3.2431640625
0.0845,0.48046875,-3.8037109375,3.04296875
0.085,1.2412109375,-4.00390625,2.4423828125
0.0855,1.921875,-4.244140625,1.9619140625
0.086,2.2822265625,-4.00390625,1.4013671875
0.0865,2.802734375,-4.1240234375,0.9609375
0.087,2.962890625,-3.5234375,0.240234375
0.0875,3.3232421875,-3.283203125,-0.400390625
0.088,3.443359375,-2.4423828125,-1.361328125
0.0885,3.6435546875,-2.08203125,-1.9619140625
0.089,3.4033203125,-1.3212890625,-2.5625
0.0895,3.36328125,-0.8408203125,-2.962890625
0.09,3.04296875,0.0,-3.36328125
0.0905,2.5625,0.6005859375,-3.6435546875
0.091,2.0419921875,1.521484375,-3.923828125
0.0915,1.3212890625,1.9619140625,-3.7236328125
0.092,0.720703125,2.642578125,-3.8037109375
0.0925,0.0,2.9228515625,-3.283203125
0.093,-0.6806640625,3.3232421875,-3.123046875
0.0935,-1.521484375,3.4833984375,-2.4423828125
0.094,-2.08203125,3.68359375,-2.08203125
0.0945,-2.5224609375,3.4033203125,-1.44140625
0.095,-2.962890625,3.4033203125,-1.0009765625
0.0955,-3.1630859375,2.8427734375,-0.16015625
0.096,-3.4833984375,2.482421875,0.560546875
0.0965,-3.68359375,1.7216796875,1.521484375
0.097,-3.68359375,1.2412109375,1.9619140625
0.0975,-3.603515625,0.560546875,2.5625
0.098,-3.36328125,0.0,3.0029296875
0.0985,-3.1630859375,-0.6806640625,3.36328125
0.099,-2.5625,-1.4814453125,3.5634765625
0.0995,-2.001953125,-2.2421875,3.84375
0.1,-1.201171875,-2.72265625,3.5234375
0.1005,-0.640625,-3.36328125,3.6435546875
0.101,0.2001953125,-3.603515625,3.04296875
0.1015,0.80078125,-3.923828125,2.8427734375
0.102,1.681640625,-4.1640625,2.162109375
0.1025,2.162109375,-4.1640625,1.7216796875
0.103,2.6025390625,-4.0439453125,1.12109375
0.1035,2.9228515625,-3.84375,0.560546875
0.104,3.2431640625,-3.36328125,-0.240234375
0.1045,3.443359375,-2.8427734375,-1.0009765625
0.105,3.68359375,-2.2021484375,-1.9619140625
0.1055,3.443359375,-1.5615234375,-2.3623046875
0.106,3.5234375,-1.0009765625,-2.962890625
0.1065,3.0830078125,-0.240234375,-3.2431640625
0.107,2.8427734375,0.4404296875,-3.603515625
0.1075,2.1220703125,1.3212890625,-3.84375
0.108,1.521484375,1.9619140625,-3.8837890625
0.1085,0.720703125,2.482421875,-3.603515625
0.109,0.1201171875,3.0029296875,-3.5634765625
0.1095,-0.640625,3.1630859375,-3.04296875
0.11,-1.28125,3.4833984375,-2.6826171875
0.1105,-2.2021484375,3.7236328125,-2.0419921875
0.111,-2.5224609375,3.4833984375,-1.4814453125
0.1115,-3.04296875,3.5234375,-1.0009765625
0.112,-3.2431640625,3.0029296875,-0.2802734375
0.1125,-3.5634765625,2.5625,0.48046875
0.113,-3.7236328125,1.841796875,1.361328125
0.1135,-3.8837890625,1.28125,2.1220703125
0.114,-3.5634765625,0.6005859375,2.5625
0.1145,-3.68359375,0.1201171875,3.1630859375
0.115,-3.1630859375,-0.720703125,3.443359375
0.1155,-2.7626953125,-1.361328125,3.7236328125
0.116,-2.08203125,-2.322265625,3.9638671875
0.1165,-1.3212890625,-2.8828125,3.8037109375
0.117,-0.6005859375,-3.443359375,3.6435546875
0.1175,0.16015625,-3.84375,3.3232421875
0.118,0.9208984375,-4.0439453125,2.8427734375
0.1185,1.6416015625,-4.244140625,2.322265625
0.119,2.482421875,-4.5244140625,1.76171875
0.1195,2.72265625,-4.0439453125,1.041015625
0.12,3.283203125,-4.1240234375,0.560546875
0.1205,3.36328125,-3.443359375,-0.3603515625
0.121,3.68359375,-3.0830078125,-1.041015625
0.1215,3.763671875,-2.162109375,-2.0419921875
0.122,3.763671875,-1.4814453125,-2.642578125
0.1225,3.4033203125,-0.720703125,-3.0830078125
0.123,3.3232421875,-0.2802734375,-3.5234375
0.1235,2.7626953125,0.6005859375,-3.7236328125
0.124,2.2822265625,1.28125,-3.9638671875
0.1245,1.5615234375,2.2021484375,-4.1640625
0.125,0.7607421875,2.6025390625,-3.7236328125
0.1255,0.080078125,3.1630859375,-3.7236328125
0.126,-0.720703125,3.36328125,-3.1630859375
0.1265,-1.4013671875,3.603515625,-2.72265625
0.127,-2.1220703125,3.7236328125,-2.1220703125
0.1275,-2.7626953125,3.84375,-1.521484375
0.128,-3.0830078125,3.36328125,-0.8408203125
0.1285,-3.5234375,3.36328125,-0.400390625
0.129,-3.603515625,2.5224609375,0.560546875
0.1295,-3.84375,2.162109375,1.201171875
0.13,-3.9638671875,1.3212890625,2.2421875
0.1305,-3.8037109375,0.6806640625,2.6826171875
0.131,-3.603515625,0.0400390625,3.1630859375
0.1315,-3.4033203125,-0.640625,3.5234375
0.132,-2.8427734375,-1.4013671875,3.84375
0.1325,-2.2421875,-2.1220703125,3.9638671875
0.133,-1.5615234375,-2.962890625,4.1240234375
0.1335,-0.640625,-3.36328125,3.603515625
0.134,0.0,-3.9638671875,3.6435546875
0.1345,0.9208984375,-4.083984375,2.8828125
0.135,1.521484375,-4.3642578125,2.5224609375
0.1355,2.322265625,-4.4443359375,1.8017578125
0.136,2.8427734375,-4.3642578125,1.2412109375
0.1365,3.1630859375,-4.0439453125,0.560546875
0.137,3.4833984375,-3.84375,0.0
0.1375,3.603515625,-3.04296875,-1.0009765625
